ID,Type,Awadhi,Roman,English,Category,Context,Source File
V001,Vocabulary,घर,Ghar,House / Home,Home,,vocabulary.json
V002,Vocabulary,कमरा,Kamra,Room,Home,,vocabulary.json
V003,Vocabulary,झाडू,Jhaadu,Broom,Home,,vocabulary.json
V004,Vocabulary,टैंक,Tank,Tank / Reservoir,Home,,vocabulary.json
V005,Vocabulary,रस्सी,Rassi,Rope,Home,,vocabulary.json
V006,Vocabulary,कुण्डा,Kunda,Latch / Lock,Home,,vocabulary.json
V007,Vocabulary,पानी,Paani,Water,Home,,vocabulary.json
V008,Vocabulary,भाय,Bhaay,Brother,Family,,vocabulary.json
V009,Vocabulary,बहिन,Bahin,Sister,Family,,vocabulary.json
V010,Vocabulary,अम्मा,Amma,Mother,Family,,vocabulary.json
V011,Vocabulary,महतारी,Mahtari,Mother (dialectal),Family,,vocabulary.json
V012,Vocabulary,बाप,Baap,Father,Family,,vocabulary.json
V013,Vocabulary,दोस्त,Dost,Friend,Family,,vocabulary.json
V014,Vocabulary,मामा,Mama,Maternal Uncle,Family,,vocabulary.json
V015,Vocabulary,मौसी,Mausi,Maternal Aunt,Family,,vocabulary.json
V016,Vocabulary,नाना,Nana,Maternal Grandfather,Family,,vocabulary.json
V017,Vocabulary,नानी,Naani,Maternal Grandmother,Family,,vocabulary.json
V018,Vocabulary,बुआ,Bua,Paternal Aunt,Family,,vocabulary.json
V019,Vocabulary,दादी,Daadi,Paternal Grandmother,Family,,vocabulary.json
V020,Vocabulary,चाची,Chaachi,Uncle's Wife / Aunt,Family,,vocabulary.json
V021,Vocabulary,भात,Bhaat,Cooked Rice,Food,,vocabulary.json
V022,Vocabulary,दूध,Doodh,Milk,Food,,vocabulary.json
V023,Vocabulary,केला,Kela,Banana,Food,,vocabulary.json
V024,Vocabulary,पूडी,Poori,Puri (Fried Bread),Food,,vocabulary.json
V025,Vocabulary,सब्जी,Sabzi,Vegetables,Food,,vocabulary.json
V026,Vocabulary,खीर,Kheer,Rice Pudding,Food,,vocabulary.json
V027,Vocabulary,मिठाई,Mithai,Sweets,Food,,vocabulary.json
V028,Vocabulary,दही,Dahi,Yogurt / Curd,Food,,vocabulary.json
V029,Vocabulary,हलुआ,Halwa,Halwa (Sweet Dish),Food,,vocabulary.json
V030,Vocabulary,फ़ल,Phal,Fruit,Food,,vocabulary.json
V031,Vocabulary,लड्डू,Laddoo,Laddoo (Sweet Ball),Food,,vocabulary.json
V032,Vocabulary,कलेवा,Kalewa,Morning Meal / Breakfast,Food,,vocabulary.json
V033,Vocabulary,गाँव,Gaav,Village,Nature,,vocabulary.json
V034,Vocabulary,पेड,Ped,Tree,Nature,,vocabulary.json
V035,Vocabulary,जंगल,Jungle,Forest,Nature,,vocabulary.json
V036,Vocabulary,बाँस,Baans,Bamboo,Nature,,vocabulary.json
V037,Vocabulary,फ़ूल,Phool,Flower,Nature,,vocabulary.json
V038,Vocabulary,मौसम,Mausam,Weather / Season,Nature,,vocabulary.json
V039,Vocabulary,मैदान,Maidan,Ground / Field,Nature,,vocabulary.json
V040,Vocabulary,नदी,Nadi,River,Nature,,vocabulary.json
V041,Vocabulary,खेत,Khet,Farm / Field,Nature,,vocabulary.json
V042,Vocabulary,स्कूल,Skool,School,Education,,vocabulary.json
V043,Vocabulary,किताब,Kitaab,Book,Education,,vocabulary.json
V044,Vocabulary,छात्र,Chhaatr,Student,Education,,vocabulary.json
V045,Vocabulary,पढ़ना,Padhna,To Study / Read,Education,,vocabulary.json
V046,Vocabulary,पैसा,Paisa,Money,Daily Life,,vocabulary.json
V047,Vocabulary,शहर,Sheher,City / Town,Daily Life,,vocabulary.json
V048,Vocabulary,कपडा,Kapda,Cloth / Clothes,Daily Life,,vocabulary.json
V049,Vocabulary,साडी,Saari,Saree,Daily Life,,vocabulary.json
V050,Vocabulary,आदमी,Aadmi,Person / Man,Daily Life,,vocabulary.json
V051,Vocabulary,फ़ुटबाल,Football,Football,Daily Life,,vocabulary.json
V052,Vocabulary,रोज,Roz,Daily / Every Day,Daily Life,,vocabulary.json
V053,Vocabulary,कल,Kal,Tomorrow / Yesterday,Daily Life,,vocabulary.json
V054,Vocabulary,दिन,Din,Day,Daily Life,,vocabulary.json
V055,Vocabulary,रसम,Rasm,Ritual / Custom,Cultural,,vocabulary.json
V056,Vocabulary,बिआह,Biaah,Wedding / Marriage,Cultural,,vocabulary.json
V057,Vocabulary,नामकरन,Naamkaran,Naming Ceremony,Cultural,,vocabulary.json
V058,Vocabulary,जनम,Janam,Birth,Cultural,,vocabulary.json
V059,Vocabulary,पंडित,Pandit,Priest / Scholar,Cultural,,vocabulary.json
V060,Vocabulary,आशीर्वाद,Aashirvaad,Blessing,Cultural,,vocabulary.json
V061,Vocabulary,तिलक,Tilak,Pre-Wedding Ritual (bride's family accepts groom),Cultural,,vocabulary.json
V062,Vocabulary,सिन्दूर,Sindoor,Vermilion (Wedding Custom),Cultural,,vocabulary.json
V063,Vocabulary,गवनौ,Gavanau,Farewell (Bride's Departure),Cultural,,vocabulary.json
V064,Vocabulary,तेरहवीं,Terhaveen,13th Day Death Ritual,Cultural,,vocabulary.json
L001,Lesson Sentence,प्रणाम,Pranaam,Greetings / Salutation,Greetings & Basics,Unit 1: Greetings & Basics / Pranaam — Greetings,lessons.json
L002,Lesson Sentence,कइसे अहा?,Kaise aha?,How are you?,Greetings & Basics,Unit 1: Greetings & Basics / Pranaam — Greetings,lessons.json
L003,Lesson Sentence,हम ठीक अही।,Hum theek ahi.,I am fine.,Greetings & Basics,Unit 1: Greetings & Basics / Pranaam — Greetings,lessons.json
