ID,Type,Awadhi,Roman,English,Category,Context,Relevance (1-4),Clarity (1-4),Authenticity (1-4),Essential / Useful / Unnecessary,Comments
,KEY:,"Relevance: 1=Not, 2=Somewhat, 3=Quite, 4=Highly","Clarity: 1=Unclear, 2=Vague, 3=Clear, 4=Crystal","Authenticity: 1=Sounds Hindi, 2=Mostly Hindi, 3=Mostly Awadhi, 4=Authentically Awadhi",,,,,,,
,,,,,,,,,,,
V001,Vocabulary,घर,Ghar,House / Home,Home,,,,,,
V002,Vocabulary,कमरा,Kamra,Room,Home,,,,,,
V003,Vocabulary,झाडू,Jhaadu,Broom,Home,,,,,,
V004,Vocabulary,टैंक,Tank,Tank / Reservoir,Home,,,,,,
V005,Vocabulary,रस्सी,Rassi,Rope,Home,,,,,,
V006,Vocabulary,कुण्डा,Kunda,Latch / Lock,Home,,,,,,
V007,Vocabulary,पानी,Paani,Water,Home,,,,,,
V008,Vocabulary,भाय,Bhaay,Brother,Family,,,,,,
V009,Vocabulary,बहिन,Bahin,Sister,Family,,,,,,
V010,Vocabulary,अम्मा,Amma,Mother,Family,,,,,,
V011,Vocabulary,महतारी,Mahtari,Mother (dialectal),Family,,,,,,
V012,Vocabulary,बाप,Baap,Father,Family,,,,,,
V013,Vocabulary,दोस्त,Dost,Friend,Family,,,,,,
V014,Vocabulary,मामा,Mama,Maternal Uncle,Family,,,,,,
V015,Vocabulary,मौसी,Mausi,Maternal Aunt,Family,,,,,,
V016,Vocabulary,नाना,Nana,Maternal Grandfather,Family,,,,,,
V017,Vocabulary,नानी,Naani,Maternal Grandmother,Family,,,,,,
V018,Vocabulary,बुआ,Bua,Paternal Aunt,Family,,,,,,
V019,Vocabulary,दादी,Daadi,Paternal Grandmother,Family,,,,,,
V020,Vocabulary,चाची,Chaachi,Uncle's Wife / Aunt,Family,,,,,,
V021,Vocabulary,भात,Bhaat,Cooked Rice,Food,,,,,,
V022,Vocabulary,दूध,Doodh,Milk,Food,,,,,,
V023,Vocabulary,केला,Kela,Banana,Food,,,,,,
V024,Vocabulary,पूडी,Poori,Puri (Fried Bread),Food,,,,,,
V025,Vocabulary,सब्जी,Sabzi,Vegetables,Food,,,,,,
V026,Vocabulary,खीर,Kheer,Rice Pudding,Food,,,,,,
V027,Vocabulary,मिठाई,Mithai,Sweets,Food,,,,,,
V028,Vocabulary,दही,Dahi,Yogurt / Curd,Food,,,,,,
V029,Vocabulary,हलुआ,Halwa,Halwa (Sweet Dish),Food,,,,,,
V030,Vocabulary,फ़ल,Phal,Fruit,Food,,,,,,
V031,Vocabulary,लड्डू,Laddoo,Laddoo (Sweet Ball),Food,,,,,,
V032,Vocabulary,कलेवा,Kalewa,Morning Meal / Breakfast,Food,,,,,,
V033,Vocabulary,गाँव,Gaav,Village,Nature,,,,,,
V034,Vocabulary,पेड,Ped,Tree,Nature,,,,,,
V035,Vocabulary,जंगल,Jungle,Forest,Nature,,,,,,
V036,Vocabulary,बाँस,Baans,Bamboo,Nature,,,,,,
V037,Vocabulary,फ़ूल,Phool,Flower,Nature,,,,,,
V038,Vocabulary,मौसम,Mausam,Weather / Season,Nature,,,,,,
V039,Vocabulary,मैदान,Maidan,Ground / Field,Nature,,,,,,
V040,Vocabulary,नदी,Nadi,River,Nature,,,,,,
V041,Vocabulary,खेत,Khet,Farm / Field,Nature,,,,,,
V042,Vocabulary,स्कूल,Skool,School,Education,,,,,,
V043,Vocabulary,किताब,Kitaab,Book,Education,,,,,,
V044,Vocabulary,छात्र,Chhaatr,Student,Education,,,,,,
V045,Vocabulary,पढ़ना,Padhna,To Study / Read,Education,,,,,,
V046,Vocabulary,पैसा,Paisa,Money,Daily Life,,,,,,
V047,Vocabulary,शहर,Sheher,City / Town,Daily Life,,,,,,
V048,Vocabulary,कपडा,Kapda,Cloth / Clothes,Daily Life,,,,,,
V049,Vocabulary,साडी,Saari,Saree,Daily Life,,,,,,
V050,Vocabulary,आदमी,Aadmi,Person / Man,Daily Life,,,,,,
V051,Vocabulary,फ़ुटबाल,Football,Football,Daily Life,,,,,,
V052,Vocabulary,रोज,Roz,Daily / Every Day,Daily Life,,,,,,
V053,Vocabulary,कल,Kal,Tomorrow / Yesterday,Daily Life,,,,,,
V054,Vocabulary,दिन,Din,Day,Daily Life,,,,,,
V055,Vocabulary,रसम,Rasm,Ritual / Custom,Cultural,,,,,,
V056,Vocabulary,बिआह,Biaah,Wedding / Marriage,Cultural,,,,,,
V057,Vocabulary,नामकरन,Naamkaran,Naming Ceremony,Cultural,,,,,,
V058,Vocabulary,जनम,Janam,Birth,Cultural,,,,,,
V059,Vocabulary,पंडित,Pandit,Priest / Scholar,Cultural,,,,,,
V060,Vocabulary,आशीर्वाद,Aashirvaad,Blessing,Cultural,,,,,,
V061,Vocabulary,तिलक,Tilak,Pre-Wedding Ritual (bride's family accepts groom),Cultural,,,,,,
V062,Vocabulary,सिन्दूर,Sindoor,Vermilion (Wedding Custom),Cultural,,,,,,
V063,Vocabulary,गवनौ,Gavanau,Farewell (Bride's Departure),Cultural,,,,,,
V064,Vocabulary,तेरहवीं,Terhaveen,13th Day Death Ritual,Cultural,,,,,,
L001,Lesson Sentence,प्रणाम,Pranaam,Greetings / Salutation,Greetings & Basics,Unit 1: Greetings & Basics / Pranaam — Greetings,,,,,
L002,Lesson Sentence,कइसे अहा?,Kaise aha?,How are you?,Greetings & Basics,Unit 1: Greetings & Basics / Pranaam — Greetings,,,,,
L003,Lesson Sentence,हम ठीक अही।,Hum theek ahi.,I am fine.,Greetings & Basics,Unit 1: Greetings & Basics / Pranaam — Greetings,,,,,
L004,Lesson Sentence,तोहार नाम का अहय?,Tohar naam ka ahay?,What is your name?,Greetings & Basics,Unit 1: Greetings & Basics / Pranaam — Greetings,,,,,
L005,Lesson Sentence,हम राधा अही।,Hum Radha ahi.,I am Radha.,Greetings & Basics,Unit 1: Greetings & Basics / Mora Naam — Introductions,,,,,
L006,Lesson Sentence,हम हियाँ तुहका देखय आवा रहिन।,Hum hiyaan tuhka dekhay aava rahin.,I came here to see you.,Greetings & Basics,Unit 1: Greetings & Basics / Mora Naam — Introductions,,,,,
L007,Lesson Sentence,कृपया जा।,Kripaya ja.,Please go.,Greetings & Basics,Unit 1: Greetings & Basics / Mora Naam — Introductions,,,,,
L008,Lesson Sentence,चला जा।,Chala ja.,Let's go.,Greetings & Basics,Unit 1: Greetings & Basics / Mora Naam — Introductions,,,,,
L009,Lesson Sentence,हाँ,Haan,Yes,Greetings & Basics,Unit 1: Greetings & Basics / Basic Expressions,,,,,
L010,Lesson Sentence,नाहीं,Naahin,No,Greetings & Basics,Unit 1: Greetings & Basics / Basic Expressions,,,,,
L011,Lesson Sentence,धन्यवाद,Dhanyavaad,Thank you,Greetings & Basics,Unit 1: Greetings & Basics / Basic Expressions,,,,,
L012,Lesson Sentence,वे हमका आशीर्वाद देहें।,Ve humka aashirvaad dehen.,They blessed me.,Greetings & Basics,Unit 1: Greetings & Basics / Basic Expressions,,,,,
L013,Lesson Sentence,हम जाबय जब अम्मा आय जइहैं।,Hum jaabay jab amma aay jaihain.,I will go when mother comes.,Family & Relations,Unit 2: Family & Relations / Mai-Baap — Parents,,,,,
L014,Lesson Sentence,"लरिका कय नामकरन वोहकय महतारी-बाप ,मामा-मौसी ,आदि लोग करा थी ।","Larika kay naamkaran vohakai mahtari-baap, mama-mausi, aadi log kara thi.","The child's naming was done by his mother, father, maternal uncle and aunt.",Family & Relations,Unit 2: Family & Relations / Mai-Baap — Parents,,,,,
L015,Lesson Sentence,बिआह के रसम कय व्यवस्था अउर खर्चा लडकी के माँ-बाप उठावा थीं ।,Biaah ke rasm kay vyavastha aur kharcha ladki ke maa-baap uthaava thin.,The arrangements and expenses of the wedding were borne by the bride's parents.,Family & Relations,Unit 2: Family & Relations / Mai-Baap — Parents,,,,,
L016,Lesson Sentence,हम अउर हमाय भाय साथ मा खेलब।,Hum aur humay bhaay saath ma khelab.,I and my brother will play together.,Family & Relations,Unit 2: Family & Relations / Bhai-Bahin — Siblings,,,,,
L017,Lesson Sentence,हमरे दोस्त कय बहिन बिमार बाटय।,Hamare dost kay bahin bimaar baatay.,My friend's sister is sick.,Family & Relations,Unit 2: Family & Relations / Bhai-Bahin — Siblings,,,,,
L018,Lesson Sentence,हमार बहिन भी हमार विश्वास नही किहिस।,Hamaar bahin bhi hamaar vishvaas nahi kihis.,Even my sister did not trust me.,Family & Relations,Unit 2: Family & Relations / Bhai-Bahin — Siblings,,,,,
L019,Lesson Sentence,"नामकरन के रसम मा मामा,नाना-नानी ,बुआ-फ़ुफ़ा,चाची मौसी ,दादी ,नानी सब लॊग नामकरन के रसम मा जा थीं आवा थी ।","Naamkaran ke rasm ma mama, nana-naani, bua-fufa, chaachi, mausi, daadi, naani sab log aava thin.","For the naming ceremony, the maternal uncle, grandparents, aunts, and grandmother all came.",Family & Relations,Unit 2: Family & Relations / Kaka-Kaki — Extended Family,,,,,
L020,Lesson Sentence,"बिआह के रसम मा घर के रिश्तेदार गाँव वाले बुआ ,काका ,फ़ुफ़ा,मामा,मौसी आदि लोग न्योता जा थीं ।","Biaah ke rasm ma ghar ke rishtedar, gaav vale bua, kaaka, fufa, mama, mausi aadi log nyota ja thin.","Family members, villagers, aunts, uncles were all invited to the wedding.",Family & Relations,Unit 2: Family & Relations / Kaka-Kaki — Extended Family,,,,,
L021,Lesson Sentence,वे रोज स्कूल जा थें।,Ve roz skool ja then.,They used to go to school daily.,Daily Life Sentences,Unit 3: Daily Life Sentences / Going Places,,,,,
L022,Lesson Sentence,राधा रमेश के साथे शहर गयी।,Radha Ramesh ke saathe sheher gayi.,Radha went to the city with Ramesh.,Daily Life Sentences,Unit 3: Daily Life Sentences / Going Places,,,,,
L023,Lesson Sentence,खराब मौसम की वजह से हम सब गाँव नही जाय पाइन।,Kharaab mausam ki vajah se hum sab gaav nahi jaay paain.,Due to bad weather we all could not go to the village.,Daily Life Sentences,Unit 3: Daily Life Sentences / Going Places,,,,,
L024,Lesson Sentence,राजू घर छोड देहें।,Raju ghar chhod dehen.,Raju left home.,Daily Life Sentences,Unit 3: Daily Life Sentences / Going Places,,,,,
L025,Lesson Sentence,वे कपडा धोवत रही।,Ve kapda dhovat rahi.,She was washing clothes.,Daily Life Sentences,Unit 3: Daily Life Sentences / Everyday Actions,,,,,
L026,Lesson Sentence,खाये के बाद सोया।,Khaaye ke baad soya.,He slept after eating.,Daily Life Sentences,Unit 3: Daily Life Sentences / Everyday Actions,,,,,
L027,Lesson Sentence,हम लडके से झाडू से कमरा साफ़ करवाइन।,Hum ladke se jhaadu se kamra saaf karvaain.,I got the room cleaned by the boy with a broom.,Daily Life Sentences,Unit 3: Daily Life Sentences / Everyday Actions,,,,,
L028,Lesson Sentence,वे सोवत्त बाटें।,Ve sovatt baaten.,They are sleeping.,Daily Life Sentences,Unit 3: Daily Life Sentences / Everyday Actions,,,,,
L029,Lesson Sentence,हम कल स्कूले ना अउबय।,Hum kal skoole na aubay.,I will not come to school tomorrow.,Daily Life Sentences,Unit 3: Daily Life Sentences / Talking About Time,,,,,
L030,Lesson Sentence,वे हर दिन फ़ुटबाल खेला थें।,Ve har din football khela then.,They used to play football every day.,Daily Life Sentences,Unit 3: Daily Life Sentences / Talking About Time,,,,,
L031,Lesson Sentence,वे कल कुछु भी नही खाये रहें।,Ve kal kucchu bhi nahi khaaye rahen.,They did not eat anything yesterday.,Daily Life Sentences,Unit 3: Daily Life Sentences / Talking About Time,,,,,
L032,Lesson Sentence,वे अब मैदान जात अहय।,Ve ab maidan jaat ahay.,They are going to the field now.,Daily Life Sentences,Unit 3: Daily Life Sentences / Talking About Time,,,,,
L033,Lesson Sentence,हम सिर्फ़ भात खाई थे।,Hum sirf bhaat khaai the.,I only ate rice.,Food & Kitchen,Unit 4: Food & Kitchen / Rasoi — The Kitchen,,,,,
L034,Lesson Sentence,तु खुद से भात बनाये अहा।,Tu khud se bhaat banaaye aha.,You yourself had cooked rice.,Food & Kitchen,Unit 4: Food & Kitchen / Rasoi — The Kitchen,,,,,
L035,Lesson Sentence,"भोज मा पूडी -सब्जी,हलुआ ,दही खीर आदि भोज लगता है ।","Bhoj ma poori-sabzi, halwa, dahi, kheer aadi bhoj lagata hai.","In the feast, puri-sabzi, halwa, yogurt, and kheer are served.",Food & Kitchen,Unit 4: Food & Kitchen / Rasoi — The Kitchen,,,,,
L036,Lesson Sentence,हमका एक दर्जन केला दिया।,Humka ek darjan kela diya.,Give me a dozen bananas.,Food & Kitchen,Unit 4: Food & Kitchen / Thaali — Meals & Sharing,,,,,
L037,Lesson Sentence,वे दुध-वुध खरीदिहैं।,Ve doodh-voodh kharidihain.,They will buy milk and such things.,Food & Kitchen,Unit 4: Food & Kitchen / Thaali — Meals & Sharing,,,,,
L038,Lesson Sentence,वे उनका किताब दे थें।,Ve unka kitaab de then.,They used to give them books.,Food & Kitchen,Unit 4: Food & Kitchen / Thaali — Meals & Sharing,,,,,
L039,Lesson Sentence,"भोज मा पुडी-सब्जी खीर मिठाई ,लडडू आदि खाना बनत है ।","Bhoj ma poori-sabzi, kheer, mithai, laddoo aadi khaana banat hai.","In the feast, puri-sabzi, kheer, sweets, and laddoos are cooked.",Food & Kitchen,Unit 4: Food & Kitchen / Kalewa — Village Breakfast,,,,,
L040,Lesson Sentence,बिआह के पहिलेव भोज होत है।,Biaah ke pahilev bhoj hot hai.,There is a feast even before the wedding.,Food & Kitchen,Unit 4: Food & Kitchen / Kalewa — Village Breakfast,,,,,
L041,Lesson Sentence,जादातर जनम कय रसम अउर नामकरन कय रसम कौने कौने समय पय होत है।,Jaadatar janam kay rasm aur naamkaran kay rasm kaunay kaunay samay pay hot hai.,The birth and naming ceremonies happen at auspicious times.,Cultural Traditions,Unit 5: Cultural Traditions / Janam & Naamkaran — Birth & Naming,,,,,
L042,Lesson Sentence,जनम अउर नामकरन कय रसन पंडित द्वारा शुभ दिन अउर तिथि देख के निश्चित कीन जात है ।,Janam aur naamkaran kay rasan pandit dvaara shubh din aur tithi dekh ke nishchit keen jaat hai.,The birth and naming ceremony is fixed by the priest after checking an auspicious day and date.,Cultural Traditions,Unit 5: Cultural Traditions / Janam & Naamkaran — Birth & Naming,,,,,
L043,Lesson Sentence,"जनम अउर नामकरन के रसम मा फ़ूल-फ़ल ,केला ,पूडी,सब्जी सब लागत है ।","Janam aur naamkaran ke rasm ma phool-phal, kela, poori, sabzi sab laagat hai.","Flowers, fruits, bananas, puri, and vegetables are all used in the birth and naming ceremony.",Cultural Traditions,Unit 5: Cultural Traditions / Janam & Naamkaran — Birth & Naming,,,,,
L044,Lesson Sentence,"हमरे समाज मा शादी से सम्बन्धित रसम लगन,तिलक ,विवाह होत है ।","Hamare samaaj ma shaadi se sambandhit rasm lagan, tilak, vivaah hot hai.","In our society, wedding-related rituals include engagement, tilak, and marriage.",Cultural Traditions,Unit 5: Cultural Traditions / Biaah — Wedding Rituals,,,,,
L045,Lesson Sentence,"बिआह के रसम मुख्यत: सिन्दूर दान ,सात फ़ेरा आदि हुअत है ।","Biaah ke rasm mukhyatah sindoor daan, saat fera aadi huat hai.",The main wedding rituals are sindoor ceremony and the seven sacred rounds.,Cultural Traditions,Unit 5: Cultural Traditions / Biaah — Wedding Rituals,,,,,
L046,Lesson Sentence,बिआह के रसम का पंडित करवावा थीं अउर लडका अउर लडकी के माँ-बाप मिल के करा थीं ।,Biaah ke rasm ka pandit karvaava thin aur ladka aur ladki ke maa-baap mil ke kara thin.,The wedding rituals were performed by the priest and the parents of the couple together.,Cultural Traditions,Unit 5: Cultural Traditions / Biaah — Wedding Rituals,,,,,
L047,Lesson Sentence,हमरे समाज मा मित्यु से सम्बन्धित रसम तेरहवीं अउर वरषी हुआ थै।,Hamare samaaj ma mityu se sambandhit rasm terhaveen aur varshi hua thai.,"In our society, the death-related rituals are the 13th-day ceremony and the annual memorial.",Cultural Traditions,Unit 5: Cultural Traditions / Mrityu — Death Customs,,,,,
L048,Lesson Sentence,समान्यत: म्रित्यु कय रसम म्रित्यु वाले आदमी के घरे पय हुआ थै।,Samaanyatah mrityu kay rasm mrityu vale aadmi ke ghare pay hua thai.,"Generally, the death rituals take place at the home of the deceased.",Cultural Traditions,Unit 5: Cultural Traditions / Mrityu — Death Customs,,,,,
L049,Lesson Sentence,हम जाबय जब अम्मा आय जइहैं।,Hum jaabay jab amma aay jaihain.,I will go when mother arrives.,Advanced Sentences,Unit 6: Advanced Sentences / Conditional Sentences,,,,,
L050,Lesson Sentence,अगर वे कल आवा होतें तौ हम मना कय सकत रहिन।,Agar ve kal aava hoten tau hum mana kay sakat rahin.,"If they had come yesterday, I could have refused.",Advanced Sentences,Unit 6: Advanced Sentences / Conditional Sentences,,,,,
L051,Lesson Sentence,हम चाही थे की तू एक अच्छा इन्सान बना।,Hum chaahi the ki tu ek achchha insaan bana.,I wanted you to become a good person.,Advanced Sentences,Unit 6: Advanced Sentences / Conditional Sentences,,,,,
L052,Lesson Sentence,जहाँ-तहाँ किताब बिखरी पडी बाटय।,Jahaan-tahaan kitaab bikhari padi baatay.,Books are scattered here and there.,Advanced Sentences,Unit 6: Advanced Sentences / Complex Expressions,,,,,
L053,Lesson Sentence,भूख से हमार अंतरी ककुरात अहय।,Bhookh se hamaar antari kakuraat ahay.,Our stomach is growling with hunger.,Advanced Sentences,Unit 6: Advanced Sentences / Complex Expressions,,,,,
L054,Lesson Sentence,गाँव कय ई सबसे पुरान पेड आय।,Gaav kay ee sabse puraan ped aay.,This is the oldest tree in the village.,Advanced Sentences,Unit 6: Advanced Sentences / Complex Expressions,,,,,
L055,Lesson Sentence,वे बिना केहू का बतायेन चला गये।,Ve bina kehu ka bataayen chala gaye.,They left without telling anyone.,Advanced Sentences,Unit 6: Advanced Sentences / Complex Expressions,,,,,
L056,Lesson Sentence,ई बाँस कय रस्सी आय।,Ee baans kay rassi aay.,This is a bamboo rope.,Advanced Sentences,Unit 6: Advanced Sentences / Narrative Style,,,,,
L057,Lesson Sentence,हमरे घरे मा ढेर पेड अहय।,Hamare ghare ma dher ped ahay.,There are many trees at our home.,Advanced Sentences,Unit 6: Advanced Sentences / Narrative Style,,,,,
L058,Lesson Sentence,वे हमका फ़ोन केहें।,Ve humka phone kehen.,They called me on the phone.,Advanced Sentences,Unit 6: Advanced Sentences / Narrative Style,,,,,
L059,Lesson Sentence,राधा अपने खातिर एक साडी खरीदी।,Radha apne khaatir ek saadi kharidi.,Radha bought a saree for herself.,Advanced Sentences,Unit 6: Advanced Sentences / Narrative Style,,,,,
Q001,Quiz Item,घर,Ghar,House / Home,Vocabulary / Translate the Word,Prompt: What does this Awadhi word mean? | Options: School / House / Home / Village / River,,,,,
Q002,Quiz Item,भात,Bhaat,Cooked Rice,Vocabulary / Translate the Word,Prompt: What does this Awadhi word mean? | Options: Bread / Lentils / Cooked Rice / Vegetables,,,,,
Q003,Quiz Item,बहिन,Bahin,Sister,Vocabulary / Translate the Word,Prompt: What does this Awadhi word mean? | Options: Mother / Daughter / Friend / Sister,,,,,
Q004,Quiz Item,पंडित,Pandit,Priest / Scholar,Vocabulary / Translate the Word,Prompt: What does this Awadhi word mean? | Options: Farmer / Priest / Scholar / Teacher / Doctor,,,,,
Q005,Quiz Item,वे रोज स्कूल जा थें।,Ve roz skool ja then.,They used to go to school daily.,Sentence / Translate to English,Prompt: What does this sentence mean? | Options: They will go to school tomorrow. / They used to go to school daily. / They are going to the school now. / He went to school yesterday.,,,,,
Q006,Quiz Item,हमरे पास पैसा नाय ना।,Hamare paas paisa naay na.,We don't have money.,Sentence / Translate to English,Prompt: What does this sentence mean? | Options: Do we have money? / They have a lot of money. / We don't have money. / I need some money.,,,,,
Q007,Quiz Item,गाँव कय ई सबसे पुरान पेड आय।,Gaav kay ee sabse puraan ped aay.,This is the oldest tree in the village.,Sentence / Translate to English,Prompt: What does this sentence mean? | Options: The village has no trees. / Plant a new tree in the village. / This is the tallest tree in the village. / This is the oldest tree in the village.,,,,,
Q008,Quiz Item,वे कपडा धोवत रही।,Ve kapda dhovat rahi.,She was washing clothes.,Sentence / Translate to English,Prompt: What does this sentence mean? | Options: She was washing clothes. / She bought new clothes. / They are drying clothes. / She stitched the cloth.,,,,,
Q009,Quiz Item,बिआह,Biaah,Wedding / Marriage,Vocabulary / Translate the Word,Prompt: What does this Awadhi word mean? | Options: Festival / Birth Ceremony / Wedding / Marriage / Funeral,,,,,
Q010,Quiz Item,हम अउर हमाय भाय साथ मा खेलब।,Hum aur humay bhaay saath ma khelab.,I will play with my brother.,Sentence / Translate to English,Prompt: What does this sentence mean? | Options: My brother plays alone. / I will play with my brother. / We watched our brother play. / I and my friend will fight.,,,,,
Q011,Quiz Item,नामकरन,Naamkaran,Naming Ceremony,Vocabulary / Translate the Word,Prompt: What does this Awadhi word mean? | Options: Death Ritual / Naming Ceremony / Wedding Ritual / Harvest Festival,,,,,
Q012,Quiz Item,राधा अपने खातिर एक साडी खरीदी।,Radha apne khaatir ek saadi kharidi.,Radha bought a saree for herself.,Sentence / Translate to English,Prompt: What does this sentence mean? | Options: Radha gifted a saree to her mother. / Radha bought a saree for herself. / Radha lost her saree. / Radha stitched a saree.,,,,,
Q013,Quiz Item,महतारी,Mahtari,Mother,Vocabulary / Translate the Word,Prompt: What does this Awadhi word mean? | Options: Father / Grandmother / Mother / Elder Sister,,,,,
Q014,Quiz Item,टैंक मा पानी नाही बाटय।,Tank ma paani naahi baatay.,There is no water in the tank.,Sentence / Translate to English,Prompt: What does this sentence mean? | Options: The tank is overflowing. / Fill water in the tank. / There is no water in the tank. / The water tank is very big.,,,,,
Q015,Quiz Item,खीर,Kheer,Rice Pudding,Vocabulary / Translate the Word,Prompt: What is 'Kheer' in English? | Options: Fried bread / Rice Pudding / Spiced lentil soup / Sweet yogurt,,,,,
Q016,Quiz Item,जहाँ-तहाँ किताब बिखरी पडी बाटय।,Jahaan-tahaan kitaab bikhari padi baatay.,Books are scattered here and there.,Sentence / Translate to English,Prompt: What does this sentence mean? | Options: Please arrange the books neatly. / Books are locked in the cupboard. / There are no books in the room. / Books are scattered here and there.,,,,,
Q017,Quiz Item,आशीर्वाद,Aashirvaad,Blessing,Vocabulary / Translate the Word,Prompt: What does 'Aashirvaad' mean? | Options: Blessing / Punishment / Invitation / Greeting,,,,,
Q018,Quiz Item,वे हर दिन फ़ुटबाल खेला थें।,Ve har din football khela then.,They used to play football every day.,Sentence / Translate to English,Prompt: What does this sentence mean? | Options: They want to learn football. / They used to play football every day. / They played football yesterday. / They won the football match.,,,,,
Q019,Quiz Item,बाँस,Baans,Bamboo,Vocabulary / Translate the Word,Prompt: What does 'Baans' mean? | Options: Rope / Tree / River / Bamboo,,,,,
Q020,Quiz Item,हम चाही थे की तू एक अच्छा इन्सान बना।,Hum chaahi the ki tu ek achchha insaan bana.,I wanted you to become a good person.,Sentence / Translate to English,Prompt: What does this sentence mean? | Options: You are a good person. / I wanted you to become a good person. / He became a good human being. / Be a good person.,,,,,
Q021,Quiz Item,तिलक,Tilak,A sacred dot / Pre-wedding ceremony,Vocabulary / Translate the Word,"Prompt: In the context of Awadhi culture, 'Tilak' refers to: | Options: A sacred dot / Pre-wedding ceremony / A type of sweet dish / A musical instrument / A farming tool",,,,,
Q022,Quiz Item,हम जाबय जब अम्मा आय जइहैं।,Hum jaabay jab amma aay jaihain.,I will go when mother comes.,Sentence / Translate to English,Prompt: What does this sentence mean? | Options: Mother and I went together. / I will go when mother comes. / Mother went before I could. / When will mother arrive?,,,,,
Q023,Quiz Item,रसम,Rasm,Ritual / Custom,Vocabulary / Translate the Word,Prompt: What does 'Rasm' mean in Awadhi? | Options: Story / Narrative / Song / Melody / Ritual / Custom / Prayer / Worship,,,,,
Q024,Quiz Item,खाये के बाद सोया।,Khaaye ke baad soya.,He slept after eating.,Sentence / Translate to English,Prompt: What does this sentence mean? | Options: He slept before eating. / He ate and then ran. / He slept after eating. / She cooked and ate.,,,,,
Q025,Quiz Item,कलेवा,Kalewa,Morning Meal / Breakfast,Vocabulary / Translate the Word,Prompt: What does 'Kalewa' mean? | Options: Evening Meal / Morning Meal / Breakfast / Festive Feast / Midnight Snack,,,,,
S001,Story Paragraph,जादातर जनम कय रसम अउर नामकरन कय रसम कौने कौने समय पय होत है।,,The birth and naming ceremonies take place at specific auspicious times.,Lifecycle,Janam aur Naamkaran (¶1),,,,,
S002,Story Paragraph,जनम अउर नामकरन कय रसन पंडित द्वारा शुभ दिन अउर तिथि देख के निश्चित कीन जात है ।,,The rituals are fixed by the priest after checking an auspicious day and date.,Lifecycle,Janam aur Naamkaran (¶2),,,,,
S003,Story Paragraph,"नामकरन के रसम मा मामा,नाना-नानी ,बुआ-फ़ुफ़ा,चाची मौसी ,दादी ,नानी सब लॊग नामकरन के रसम मा जा थीं आवा थी ।",,"For the naming ceremony, the maternal uncle, grandparents, aunts, and grandmother all came.",Lifecycle,Janam aur Naamkaran (¶3),,,,,
S004,Story Paragraph,"जनम अउर नामकरन के रसम मा फ़ूल-फ़ल ,केला ,पूडी,सब्जी सब लागत है ।",,"Flowers, fruits, bananas, puri, and vegetables are all part of the celebration.",Lifecycle,Janam aur Naamkaran (¶4),,,,,
S005,Story Paragraph,ज़नम अउर नामकरन कय विधि निकासन है ।,,The ceremony of birth and naming is called 'Nikasan'.,Lifecycle,Janam aur Naamkaran (¶5),,,,,
S006,Story Paragraph,"जनम अउर नामकरन के रसम का निकासन कहा थीं वोहमा भोज हुअत है भोज मा पूडी -सब्जी,हलुआ ,दही खीर आदि भोज लगता है ।",,"This ceremony is called Nikasan — a feast is held with puri-sabzi, halwa, yogurt, and kheer.",Lifecycle,Janam aur Naamkaran (¶6),,,,,
S007,Story Paragraph,"जनम अउर नामकरन के समय व्यवस्था वोहकय महतारी-बाप ,घर वालेन करा थीं ।",,All arrangements are made by the child's parents and family.,Lifecycle,Janam aur Naamkaran (¶7),,,,,
S008,Story Vocab,जनम,Janam,Birth,Lifecycle,"Vocab from ""Janam aur Naamkaran""",,,,,
S009,Story Vocab,नामकरन,Naamkaran,Naming Ceremony,Lifecycle,"Vocab from ""Janam aur Naamkaran""",,,,,
S010,Story Vocab,पंडित,Pandit,Priest,Lifecycle,"Vocab from ""Janam aur Naamkaran""",,,,,
S011,Story Vocab,निकासन,Nikasan,Coming-out Ceremony,Lifecycle,"Vocab from ""Janam aur Naamkaran""",,,,,
S012,Story Vocab,भोज,Bhoj,Feast,Lifecycle,"Vocab from ""Janam aur Naamkaran""",,,,,
S013,Story Paragraph,"हमरे समाज मा शादी से सम्बन्धित रसम लगन,तिलक ,विवाह होत है ।",,"In our society, wedding rituals include the engagement (Lagan), Tilak ceremony, and the marriage.",Lifecycle,Biaah ki Rasm (¶1),,,,,
S014,Story Paragraph,समान्यत: लडकी के घर पय बिआह कय रसम लडका अउर लडकी के बालिग होय पय होत है।,,"Generally, the wedding ceremony happens at the bride's home when the boy and girl come of age.",Lifecycle,Biaah ki Rasm (¶2),,,,,
S015,Story Paragraph,बिआह कय रसम दिन के समय पंडित द्वारा वर अउर वधु कय जन्म पत्रिका देख के कीन जात है।,,The wedding ritual is conducted during the day by the priest after checking the horoscopes of the bride and groom.,Lifecycle,Biaah ki Rasm (¶3),,,,,
S016,Story Paragraph,"बिआह के रसम मुख्यत: सिन्दूर दान ,सात फ़ेरा आदि हुअत है ।",,The main wedding rituals are the Sindoor ceremony and the seven sacred rounds around the fire.,Lifecycle,Biaah ki Rasm (¶4),,,,,
